checkpoint,checkpoint_value,dataset,model,n_features,auc_mean,auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
80%,0.8,traditional_LA_plus_structural,Random Forest,156,0.8031028674847526,0.048924932230869904,0.7442283950617284,0.05346298517596277,0.771855588383076,0.059921076109668195,0.733111849390919,0.09174400319185644,0.7478107332682798,0.056644858005990235
80%,0.8,traditional_LA_plus_prompt_0_minimal,Random Forest,102,0.7943029034522303,0.04487945943424452,0.7293004115226337,0.031530204502983036,0.7550680287166653,0.04706701408996956,0.7220007382798079,0.0682466110129512,0.7348724557798106,0.034446814531571154
80%,0.8,traditional_LA_structural_plus_prompt_0_minimal,Random Forest,210,0.8011769883862907,0.05775236291705182,0.7466666666666667,0.05823095616993568,0.7776856947761907,0.05589760271950849,0.7253599114064231,0.09898106400668386,0.7469916151027362,0.06437656044594696
80%,0.8,traditional_LA_plus_prompt_1_structured,Random Forest,102,0.793641166621583,0.05000408277403807,0.7334156378600823,0.040376177308959975,0.7548386814358774,0.053790213002251105,0.7363233665559246,0.07936092428622939,0.7413860056097541,0.04311862019629538
80%,0.8,traditional_LA_structural_plus_prompt_1_structured,Random Forest,210,0.8000358180284741,0.05334461009219582,0.7475205761316874,0.04725030320654173,0.7761295247341035,0.04790397661264625,0.7300110741971206,0.08195499464698716,0.7496341654911359,0.05241425861750626
80%,0.8,traditional_LA_plus_prompt_2_rubric,Random Forest,102,0.797451689250955,0.0436860049237903,0.7309156378600822,0.044597988183904126,0.7560769097882197,0.052429251343165235,0.7253229974160205,0.07960760287072693,0.7365862949579078,0.0466761943838735
80%,0.8,traditional_LA_structural_plus_prompt_2_rubric,Random Forest,210,0.804223625551655,0.054712468833452654,0.7475,0.057098937826455365,0.7789831411882001,0.056358821282757696,0.7252860834256184,0.08854923832039309,0.7482948066360143,0.06122394656234084
100%,1.0,traditional_LA_only,Random Forest,48,0.8044597555307469,0.047763244178485015,0.7449588477366256,0.046990260684860494,0.753928950433745,0.040054900796078007,0.7632336655592469,0.0999885735882515,0.7548898268062167,0.05604068208533917
100%,1.0,traditional_LA_plus_structural,Random Forest,156,0.814584737534554,0.05399733446968782,0.7582716049382718,0.04613524112330025,0.7810291050343935,0.037999708660165964,0.7506090808416391,0.09949922173608197,0.7615283168141023,0.05516306098070456
100%,1.0,traditional_LA_plus_prompt_0_minimal,Random Forest,102,0.8073207890527353,0.04697451796698063,0.7524176954732512,0.03563915794688572,0.7714777929126313,0.03615121288773425,0.752048726467331,0.08353943503049562,0.7583938393510858,0.04391799793840673
100%,1.0,traditional_LA_structural_plus_prompt_0_minimal,Random Forest,210,0.8163728616910991,0.05521727796559328,0.7566358024691358,0.04936667048992553,0.7780158813380454,0.05449017173204693,0.7554817275747508,0.09464191397409456,0.7622410277978916,0.05458903873292459
100%,1.0,traditional_LA_plus_prompt_1_structured,Random Forest,102,0.8055532390905707,0.04888455599351414,0.7482716049382716,0.04619468272525067,0.7589190079819926,0.04590673021822831,0.7648209671465485,0.09057751543062281,0.7584365668536948,0.051775015794650346
100%,1.0,traditional_LA_structural_plus_prompt_1_structured,Random Forest,210,0.8140124087798508,0.057173688275071986,0.7582716049382717,0.04825571633938218,0.7815632630769873,0.051247479173129294,0.7521594684385382,0.08748260596219118,0.7630300484641416,0.051517008240453556
100%,1.0,traditional_LA_plus_prompt_2_rubric,Random Forest,102,0.8014564960403393,0.0484056824824829,0.750761316872428,0.04363075691615023,0.7641384757126031,0.04311431969084088,0.7616463639719452,0.09085384224863845,0.7593659311326022,0.051098609402283425
100%,1.0,traditional_LA_structural_plus_prompt_2_rubric,Random Forest,210,0.8096162564032823,0.05373359676743661,0.7599279835390947,0.05228907820346731,0.7829521300463159,0.053344109179672305,0.7537467700258398,0.09756832045096595,0.7639954186792622,0.05810516259220989
